Nom,Categorie,Longueur (m),Largeur (m),Poids (kg),Puissance (chevaux),Couple (mkg),Coffre (L),Consommation mixte (L),Motorisation,Emissions CO2,Norme Euro,Cote LaCentrale,Note Caradisiac,Note proprietaires,Commentaires
Ford Cmax 2 2010-2020,Monospace,"4,38","2,06","1 472,00","125,00","17,20","471,00","5,10",Essence,"117,00","6,00","8 070,00","14,80","14,60",Ford C-max 2 II 1.0 ECOBOOST 125 S&S BUSINESS BVM6 2012
Ford Smax,Compacte,"4,76","1,88","1 602,00","160,00","27,00","285,00","6,80",Essence,"159,00","5,00","12 910,00","14,10","15,00",Ford S-max (2) 1.6 SCTI 160 ECOBOOST S&S TITANIUM BVM6 2012
Opel Meriva 2,Monospace,"4,28","1,99","1 393,00","120,00","17,50","400,00","6,00",Essence,"132,00","5,00","7 590,00","14,10","13,40",Opel Meriva 2 II 1.4 TURBO TWINPORT 120 START/STOP COSMO 2012
Renault Captur ,Compacte,"4,12","1,77","1 105,00","90,00","14,00","455,00","5,10",Essence,"132,00","6,00","12 430,00","14,30","13,10",Renault Captur 0.9 TCE 90 ENERGY HYPNOTIC
Kia Cee'd Sw,Break,"4,47","1,78","1 399,00","125,00","15,40","534,00","6,20",Essence,"148,00","5,00","5 250,00","16,00","15,90",Kia Cee D Sw (2) SW 1.6 CVVT 126 ACTIVE BVM6 EURO5
Peugeot 207 SW,Break,"4,16","1,75","1 248,00","120,00","16,00","428,00","6,40",Essence,"148,00","5,00","4 540,00",,"15,20",Peugeot 207 Sw (2) sw 1.6 vti 120 outdoor 2010
Peugeot 307 SW,Break,"4,43","1,75","1 255,00","110,00","24,00","137,00","7,40",Essence,"178,00","2,00","2 660,00",,"15,50",Peugeot 307 Sw (2) SW 1.6 16V CONFORT PACK 2008
Peugeot 308 SW,Break,"4,50","2,03","1 440,00","120,00","16,00","520,00","6,90",Essence,"160,00","4,00","4 420,00","14,80","15,20",Peugeot 308 Sw sw 1.6 vti 120 confort pack
Peugeot 407 SW,Break,"4,76","1,85","1 455,00","125,00","17,00","448,00","7,90",Essence,"184,00","2,00","3 900,00","17,00","15,20",Peugeot 407 Sw SW 1.8 16V 125 CONFORT PACK
Golf +,Monospace,"4,20","1,75","1 341,00","122,00","20,00","395,00","6,50",Essence,"152,00","5,00","7 190,00","16,00","15,80",Golf Plus (2) 1.4 TSI 122 CARAT 2010
